ЕРБСММЮ=Единый Реестр Ботов-СММщиков Ютуба. Список активно не ведётся. Подробнее: [1](https://t.me/YTObserver/118), [2](https://t.me/YTObserver/129), [3](https://t.me/YTObserver/138), [4](https://t.me/YTObserver/148), [5](https://t.me/YTObserver/148), [6](https://t.me/YTObserver/151)
UCLlwv6zNyhg9neqbio2PaRA=22 Sep, 2016 #1
UCbZBq4d22RdVpCA5583rd8A=2 Apr, 2014 #1
UCXejc5aylPOlxO2QFWmC8Xw=Sep 7, 2018 #1
UC2x7l1G2bRC6A6LZk2GEIGQ=Sep 8, 2018 #1
UCe7174tzTgobGosK2al3Wwg=Sep 8, 2018 #1
UCIdNkO9lmCyl4Co5Dsdj93Q=Sep 8, 2018 #1
UCWO3So3SNbxZhxEq6AEfkyg=Sep 8, 2018 #1
UCz-mCdEoQs97aSKNITVqnwg=Sep 8, 2018 #1
UCNC4usj9pb1zQgJ4hvKbYFQ=Sep 8, 2018 #1
UCovlK75MBm6Ey7H_7rHi58g=Sep 8, 2018 #1
UCwKvqK9Z5_b14HOYGJ6NG3A=Sep 8, 2018 #1
UCX8dVsZhNDU3TJUaQLc3ibw=Jan 31, 2018 #1
UCHfCGXjLFnEgXQiyICEjSQg=8 Feb, 2018 #2
UCl9yqgFLYGIYp6CLsiCY0uQ=5 Apr, 2016 #2
UCbrF1YxZgndVDhqOWxWhmrw=6 Jun, 2018 #2
UCLYmmIVoUK73wYBQlQvCLRg=5 Feb, 2016 #2
UCHTh2yayHWo4x190LZBHfqw=2 Oct, 2017 #2
UCEGLMEynMXMXYfy3miiS-rQ=4 Feb, 2018 #2
UCiMsAgOekgnk-lC9FDf9ymw=19 Jun, 2016 #2
UCN_F2kaW508H60njXnjK0Gw=10 Feb, 2016 #2
UC5OrSnKqRyg4hCajIx3ukNg=19 May, 2018 #2
UCzXUKPHMBeyxLq5EBdR-t2w=25 Dec, 2015 #2
UCjb4sEu_aqw8gG33BfSYiPQ=8 Nov, 2016 #2
UCoyPVGRjZKUbkZqtQm8WCYw=22 Jun, 2017 #2
UCCy6_zklNo-nGQbXP6B4zjQ=9 Jul, 2013 #2
UCiogKya_zAnBQJVylRNRg1A=6 Aug, 2015 #2
UCRCJOlxMJebLnLyYreE2hGw=9 Apr, 2012 #2
UCdw3NE9h1aAO0OwYLg5w1YA=5 Dec, 2017 #2
UCFFga-Deb18YGjbE0J9NzOQ=20 Jul, 2015 #2
UCy2Cz4M9gWwNSHImFoJ98IA=3 Feb, 2015 #2
UCd4O3qCESr0YBuDmQcVRvFA=24 Apr, 2014 #2
UC-vh10iLxqngTSZdzqsdzfg=6 Mar, 2017 #2
UCRRvvoQwmlPRiBZSP7CgZ8g=18 Jun, 2017 #2
UCNy8kksAASAsNcjUCmWtP4w=14 Dec, 2016 #2
UCpRKyzGoGpE8vtdQcki8xtw=16 Jun, 2014 #2
UCAZVA-zsobpVIHr10K7-KzQ=14 Apr, 2014 #2
kurt8710=25 May, 2011 #2
UCUMFK0ee1TDd5mrGFX_JSYA=13 Oct, 2015 #2
UC5z1vkse2N4H6TykiJASlnA=24 Aug, 2016 #2
UCMQluVYtFCwVvn6SF4LNu6w=1 Oct, 2017 #2
UC95mWBQXJryVZdspvqcHQHQ=9 Jan, 2016 #2
UCxkaX6ICISPGK4u3qy_SaUg=3 Jul, 2017 #2
UC959-Pi_PaEGz6IlMppSWIg=24 Feb, 2013 #2
UC5Xcjr_v2TZiFVDOlfI_Lug=11 Feb, 2015 #2
UCddficEeMGOpytq04tbMBVA=11 Jul, 2017 #2
UC6QXg8fL7z1a1FMUaVlsEGQ=21 Jun, 2016 #2
UCMFB8_W19ZVuOjzuMof86Dw=2 Mar, 2014 #2
UC3mHwC2Db5zPyKR8wxX0StQ=3 Apr, 2017 #2
UCNQ-kbFzfSeLnVMYRJ2z81A=27 Jan, 2018 #2
UCl92MhgmxSxdpnUgeMGvayA=25 Oct, 2016 #2
UCdiQsEkkzwt75nZnadsAM1A=11 Aug, 2013 #2
UCS90Vfs2_jlDOPJ38bJRjWg=22 Mar, 2018 #2
UCc9xKJIj2RclmCHCfvski-A=9 Jan, 2017 #2
UCwm_8pqa6TE18bBn4SPjZIA=22 Feb, 2017 #2
UCDnj39IjZgltS7VR1Ma8ziA=10 May, 2014 #2
UCLRMye08pedvM14kfttO-eA=20 Nov, 2012 #2
UC_eo3ZsWk9XbgGF7ZyvS8qg=12 Nov, 2017 #2
UC5KAdIpgf87gzI0-TE3g5aQ=18 Dec, 2017 #2
UCKZpObaPgMNIZqmq-61Zp2w=5 Dec, 2017 #2
UCfVI9_75OQGfEjsl782gicg=5 Dec, 2017 #2
UCSMgBYdLF9Eg5JzXfmGVvbQ=5 Dec, 2017 #2
UCApwBT2-r0Z7g2IYcXzTF6g=24 Dec, 2017 #2
UCwXaQ1TQYXQX5ZFDwXJGRfA=19 Dec, 2017 #2
UCGoOgTFcpIea8pNPbWJDLfw=26 Dec, 2017 #2
UCvSp84w7SuzQzivCwlkmhNA=5 Dec, 2017 #2
UCPvWA4iKEUTBeb-wCdsLGRw=17 Dec, 2017 #2
TheEihler=18 Jun, 2014 #2
UCpv_-YKeXqSF06kbk75zFQg=11 Jan, 2018 #2
UCnfR5pe0-fZLmQBZKn1Grww=7 Nov, 2016 #2
UCxpANtD9XOPcskHsv3T5n-A=27 Jun, 2016 #2
UCGACx_A9TSiurIDKxz2OshQ=10 Nov, 2015 #2
UCnQEdV15MvDWrAlZTLZBB3g=14 Feb, 2018 #2
UCur4LhPqSbdUbsyYtO3VQNw=3 Mar, 2018 #2
andryhkamalovv=9 May, 2012 #2
UC-OUOVWx24aEI7jTEOEACFA=4 Dec, 2017 #2
UCOkuFTTpyC8neyi4_6EqJGg=20 Nov, 2017 #2
UCOMcws_I5bGKgeQWr9lra4Q=27 Nov, 2016 #2
UC11ixZlX0qbsL-Mp9gAxn9g=26 Nov, 2017 #2
UCX4V8rH9vwEZoAKLK-lTrfg=28 Nov, 2017 #2
UCynLrCo5ceEsRNa2CD7D1ew=14 Nov, 2017 #2
UCp1z_fhqWEIHIduVScsBIsw=5 Sep, 2017 #2
UCi55ULg7CEpzbhf4nKiRDxA=18 Feb, 2014 #2
UCDhvD7bWq5uISfDzFiNe4wA=19 Jul, 2017 #2
UCZVVjQBgYwebfYshj_1eqGA=19 Oct, 2011 #2
UCMZ3EgNuDcqgSdXoFczsgsQ=16 Jun, 2013 #2
UCGMOpKBtvT1Hm8BbJ-JIL9Q=26 Mar, 2014 #2
UC-3QoTySWyB0VmERwSf3S8A=24 Mar, 2012 #2
UCTkzUTdhWtdL7NjFwn3RXKA=7 Jul, 2017 #2
UC7dKTELLTexkE0RQRMcYlwQ=8 Jan, 2014 #2
UCQJVozz8QFhrGI__DUO8Osg=5 Jul, 2014 #2
UC9om5NcMcmpkfhct4C1zJNg=1 Jun, 2014 #2
UC41rm6AWlmDLYJmcQBUbwJQ=9 Mar, 2016 #2
UCFIpMsggqsAaxDuQJF3X24g=29 Oct, 2015 #2
UCPL0yBULGxCq22DflEdNRIw=6 May, 2014 #2
UCPnLHAGSw5rRbMUkr7WbdXQ=8 Feb, 2017 #2
UC_qS5PxQ19PgmeYS31gsH6w=22 Jun, 2016 #2
UC--h_jTmMj7VgS2MK-pc8HA=21 Jan, 2015 #2
UCL-9bp1PvyBbGtLyildHhAg=11 Aug, 2013 #2
UClJ5SiMFt_5cYMXR69Qb6jg=25 Jun, 2014 #2
UC2qeHgGvRsNNWaYAUMWyDYw=26 Sep, 2015 #2
UCbyuJzFiRgP_gDoKBw8iSpw=30 Jun, 2017 #2
UCibVwcb72nLZwmHsEGSIneA=5 Aug, 2016 #2
UCAVDDJa8Tmf3AkpWkRHGzCA=26 May, 2015 #2
UCVpgPc3dzClHpE8vuuYRa-Q=18 Jan, 2018 #2
UCANDBwxoQhLBggIG-D0LYjA=26 Nov, 2017 #2
UCHd3M2DzuTXbDK8wvlwiRUw=30 Jan, 2018 #2
UCSJlJCyhxK6pOGAuFFy55kA=6 Mar, 2016 #2
UCoewHjQl0Ag_iKb4toNHhKQ=21 Dec, 2013 #2
UCKRrd1nIsCSQzMHpmT8pY2Q=27 Jan, 2018 #2
UCHh1_fCKQoteo8a0DoBEjhw=17 Nov, 2016 #2
UCEkgZd6HUK_fFn2Db7ZNZKQ=13 Mar, 2014 #2
UCAU18xXr3ACoWfMbfCPOhGA=1 Feb, 2014 #2
UCGMf7ej4BBoqdUKkyMMoZAA=28 Aug, 2014 #2
UCdBsntL9V3HNTjOT9X8emag=12 Jul, 2012 #2
UC4tMc0ZZ953D2KoMqEXsisQ=12 Sep, 2012 #2
UCpCujnDZ5vQgmfHektTKP3w=17 Nov, 2014 #2
UCL-0XqIrIS2cAwRxnbNv4kA=9 Nov, 2017 #2
UCexFgApGOH0TSVIcO_UypRQ=17 Dec, 2013 #2
UCoakK0Xls8T75BGWRVebF9g=28 Nov, 2017 #2
UCXBtZ2nyVUwIi8Z9pB06NVA=26 Nov, 2017 #2
UCZH1BfCe7lLSXgrxDoRrGsQ=28 Nov, 2017 #2
UCmfC4keqvVNlGVx67dbStDg=26 Aug, 2016 #2
UCIXztvJrrVJ0--5AI1EILrg=4 Jan, 2017 #2
UCcEASJdcGdmnZZl7EHpP4sQ=26 Nov, 2017 #2
UCqK5YPxEuReVXob_UY0gcpw=9 Nov, 2015 #2
UC8UaFP1aE8xhCX63KWRU_AA=26 Nov, 2017 #2
UCqdrkxHaYTrthc6D_B0K-8w=6 Nov, 2017 #2
UCOzV4Ew2LIUsCkqP3sNPfxg=6 Nov, 2017 #2
UCz-Ko6xHRI6Xx2xtfsJ8h5A=9 Nov, 2017 #2
UCrUHFJSyrniGjKW4Qvn86lQ=7 Oct, 2014 #2
UCnTAk8FpfK1DpYZev18kwUQ=22 Apr, 2015 #2
UC5F33eZAulXno3lTiFeeObA=27 Oct, 2015 #2
UCIWpZeTCA0CriToCLYkiw5w=27 Jan, 2018 #2
UCNlzQhWrIGiJINgTTrqPG2g=15 Sep, 2015 #2
UCWdLzhQ_oHf57e0k625FGug=19 Aug, 2017 #2
UC_uPgpvz8Rxs-mCfr4LxHPw=31 Dec, 2013 #2
UCw4dbgtjpeIN-Wo79wg3OLQ=6 Mar, 2017 #2
UCz1v3vSntTeti3p6ROqVFfA=28 Aug, 2012 #2
UCYfH6BeJ8LbPP2rkHhKtpdw=13 May, 2017 #2
UCa5lGdi9x6Jb67rkQAlnt7Q=23 Jun, 2014 #2
UCwT1FuM4djynfhPIKoVtTHQ=11 Jun, 2014 #2
UC3nUsyHjo9GkFTNsCDisZMA=15 Jan, 2018 #2
UCIoq6ele9-pfyu7lre1sXEw=30 Mar, 2017 #2
331sid=25 Jun, 2011 #2
vladelectetradi=11 Jan, 2009 #2
UCHl9-W_u4bNnzNE8l1yeZ7Q=23 Feb, 2013 #2
UCQO8lEiEI6_4CQJ3tXcesGw=31 Jul, 2017 #2
UCEmMcofuO2Tmk6KkS5tK_xA=23 May, 2013 #2
UCj0EiHVYQFKWjxa7HlffSzA=21 Jun, 2012 #2
UCdBFYcPTX5oK-IBJ0V287mQ=11 Jul, 2014 #2
UCd2SY8MLgDYBnuUJYuo7aHA=11 Jun, 2016 #2
UCSLk5Jlw5h5oyuwJ96eEW8Q=22 Nov, 2013 #2
UCZDzWOa6XzkSfg2Y1rHLJ6w=26 Mar, 2016 #2
UCBnP77o8ScEn0H2GqsVAzFg=15 Mar, 2015 #2
UCrtaE8N4g79yFhwvQ7alnvA=7 May, 2015 #2
UCXxXYJWA_dJSZXSnlbsyb3w=14 May, 2017 #2
UClSvJiwu1EY6OiR-xYy9odg=15 Nov, 2017 #2
UCUc2HmhOKN_zsvzP6HQ6UrQ=7 Jul, 2016 #2
UCzSWgoN5Zq_dB5X3RSRhKZA=1 Feb, 2015 #2
UCWubvqJNjnYYMJ2Hs7Af1Fw=9 Jul, 2016 #2
kolla000=21 Apr, 2010 #2
UCrmybuYRLbGXqD6y3wvHfRw=4 Nov, 2016 #2
UCEDNZIsnLoh_I3BO4ZlqEeQ=19 Mar, 2014 #2
UCl7_u7YIPDZrN0_VDuXDE_w=25 May, 2016 #2
UCvV1Vl9S3T5XgMzli8-l1_A=5 Jun, 2015 #2
UCUb3Z7J1sJ8w0b8_SJJmGtQ=23 Jan, 2017 #2
UCR7SL7fefOATD-CO8eWshYg=9 Feb, 2016 #2
UCeYfAxn_yODqcnMhSmpqUVg=29 Nov, 2015 #2
UC6p3tyGjWxrbVzZM53u9nPA=16 Aug, 2015 #2
UC2TCmEXZlVZTvt2LoTk6vfg=17 Mar, 2015 #2
UCBotDRv9uQj0GZz4ElDqdJQ=11 Oct, 2017 #2
UCiHBkdM_jgebhkNEskxm1vg=23 Apr, 2013 #2
UC9Wcwd1ln-LcKPxMu0AYnQQ=16 Oct, 2017 #2
UCASUatKyLe4V2kLKG9-pzRA=6 Apr, 2015 #2
UCz9zPJuVU3NjKZINNWsL95Q=23 Oct, 2014 #2
UC9fsqOiM1zhRBttun28olyg=14 Nov, 2017 #2
lenaflorr=31 Oct, 2014 #2
UCyHHzslFfTd2FlTvYKdbtEQ=8 Jan, 2018 #2
UCQ1M_fPJxGrpOWQlMPn87Yw=19 Dec, 2017 #2
UCS-09S2xfMNuOvOVcGueJgA=19 Dec, 2017 #2
UCI7lkjTlxn77vpFpRtomsWA=8 Jan, 2018 #2
UC0eupbj3tx6950ZGSOwaNHg=8 Jan, 2018 #2
UCrXCTbd9_wGax8gN3mKnXjQ=7 Jan, 2018 #2
UCQe_qualY5QmuhK29YnxYeA=28 Mar, 2012 #2
UC0oyE3tbggM-QVLGL2_ExGg=23 Nov, 2016 #2
UCq_4DPnjawsQ2H6RB4Yo_xg=3 Jul, 2014 #2
UC-94iVd1tHKAGKKpoVOsl-Q=30 Oct, 2017 #2
UCWx9hxmkMIUbKC9ChWmyZGQ=26 Oct, 2017 #2
UCFqfFnif99XiMBCyA7PBKuw=22 Sep, 2016 #2
UCB7NqBKhLiaTWRvrDjT7BOA=13 May, 2017 #2
UCZXy2MEWVnTPNHeljKBvF9g=23 Nov, 2014 #2
UCZ07tqaoohkFw8LbzmQF2Dw=26 Jun, 2013 #2
UCWZn06C79QNyeSRQZgCklwQ=29 Apr, 2013 #2
UC13OT3rzUhI4dTO53k-qU7Q=3 May, 2015 #2
UCB2u6C2jGLPbM8NOOQ67Qqw=2 Jan, 2013 #2
UCepdyarhsDwxkOb02zVD-yg=16 Jul, 2017 #2
UCUVr9YsDKRfWca53NNLIo6A=9 May, 2017 #2
UCeMzyc2uwsIs0T4hol06Iwg=29 May, 2016 #2
UCztB4RLnv01tVyNUrk8A5pQ=1 Oct, 2016 #2
UCPTRDE5Vn95P7yR39G3geXA=21 Jan, 2018 #2
UCFi6WhD87KzfhtOWyg-lrlA=1 Oct, 2017 #2
UCZwiaVtt-cJW72wk-7IPvSw=4 Aug, 2017 #2
UCpoZ_aeKpaViwOPi5T0K-XQ=5 Jan, 2018 #2
UCL5QYjOAGxjf8QhuDEml9tw=7 Apr, 2014 #2
UC5uHdc8FZBqO87K4D1myYLw=13 Jun, 2016 #2
UCyrBcUD9S-TRWODmJ5FXJVQ=8 Nov, 2017 #2
UC0RIRejkvp6jNjQsp0fzGYg=11 Jan, 2016 #2
UCi2_Mh8RGAFJmN3AyZIMIWQ=22 Sep, 2016 #2
UCorR_sEbbpGI3VNKgisWmWA=19 Sep, 2016 #2
UC1oSBzaq0VnJS-gBNa7d0Mg=12 Jan, 2018 #2
UC1ZZk6bwGq0EdBi9U9ayFKA=21 Dec, 2013 #2
UCj9Gakhlfxf9qVtQuLkS7uA=1 Dec, 2017 #2
UCe8cXtbNTpBeCwUGUCBSDwA=6 Dec, 2017 #2
UCl8tEY5ReK6GACStSaCTPNg=9 Dec, 2012 #2
UC5aEilswc_-BdZKjyPJsEvA=10 Mar, 2013 #2
UCQX3aE6vwUW6r1-gJxoqCzA=13 Jul, 2017 #2
UCPn-y6nZL1U6wlKeoNAolgA=1 Dec, 2017 #2
UC0QnoPB3WLFUylOKlHXX8Hg=24 Jun, 2014 #2
UCqatgYuJYHyEVRzvPGj1csw=17 Dec, 2017 #2
UCq32kKi2LmwRsTRNBxF3v5g=6 Nov, 2014 #2
UC1fsvAY24ATuUit4kb1rXlg=2 Jul, 2017 #2
UCbV8YsxhL4IBAzIKrL-N3Lg=14 Dec, 2017 #2
UCHHMPjClv68VqeeLEjP901w=6 Aug, 2016 #2
UCeWzk_M8yCZVPoPmGSbq5ZA=27 Dec, 2017 #2
UCWnC6vRCy1rJXXJpG9-OyAQ=22 Jan, 2018 #2
UCp6C72CaE1W3dl0ukfd_Opg=9 Nov, 2017 #2
UCEpBla6Vj7klCzWLL0eAE8w=20 Nov, 2017 #2
UCEWk3gukODKTZ5A4kY3ABeg=8 Nov, 2017 #2
UCG978XTcP60ETahK_oC3iwA=8 Nov, 2017 #2
UC6II33ZahqihwzqBLQ7VEIA=29 Nov, 2017 #2
vovik192=26 Mar, 2012 #2
UCzX4MWSVAsP3FUkiQnhAgdA=2 Dec, 2017 #2
UCX5VxSerZn-flKVkStjKZwA=21 Dec, 2017 #2
UCD383QbQLixx8MkSm4BRLNg=26 Dec, 2017 #2
UC4Z1aL8MM6uQJ9uhpzOprEQ=25 Feb, 2016 #2
UCRQWLNeSOepOjTATrVyslhw=30 Nov, 2017 #2
UCMdy3pLApO5i3S4rbkzp5Gw=3 Dec, 2017 #2
UCOWBz_Wdcq_pTksNO1mCYcw=30 Sep, 2017 #2
UCGDUetkiy2xKtTbA5TQE8IQ=28 Aug, 2017 #2
UCU4Yjm6xcv7XgTd7A6HUWxw=17 Jun, 2014 #2
UCsPDTXZJWwK_USlxF6FqiUw=20 Dec, 2017 #2
UCg-EUlZ5s9QSEFtTgmj99xg=2 Oct, 2017 #2
UCyfH-n3iA79JCbcz4nAmrwQ=20 Sep, 2017 #2
UCHvc9U5JfvWncuCuzpcClyA=25 Dec, 2017 #2
UCd2wlNIysaGT8n8NFN-7FNg=10 Sep, 2017 #2
UCGgSpwDHDcd23Qn8yOFp-4w=1 Nov, 2017 #2
UCNqSjACUxtH99xWNqO2b5ag=6 Sep, 2017 #2
UCK9DxPngRLK_V2WVqMMrlUQ=19 Sep, 2017 #2
UC_PcjTyLVKIgInhWWRgFb6g=31 Dec, 2017 #2
UCREWzFvFSksRA4FOFb_iZHg=14 Oct, 2017 #2
UCixXLk44r3bLhQ1wRkJbb5g=15 Jan, 2018 #2
UCCfgTsv2VPM-c08TjiHdJrQ=9 Oct, 2012 #2
UCBadgnCuH7ztIgdBQILlOpw=23 Oct, 2017 #2
UCnp3DTZ_kQiCsDVwC7coQRw=10 May, 2017 #2
UCIB5xpSUpXIoFDvWoxjkotg=9 Apr, 2017 #2
UCPoCb3FLaLY_ePkW1ofvENQ=20 Sep, 2017 #2
NFSBrain1=11 Aug, 2009 #2
UCHKlqUvHqjLtjxsnL3bQcQg=10 Jun, 2013 #2
UC92J5nf1Vj_u1HqmEvVlrrA=26 Jul, 2015 #2
UCxjM1zaw_EGcp6DMHNeU2YA=2 Oct, 2016 #2
UCR7LGNzmmt7Xg9ScxinbN0A=21 Mar, 2017 #2
UCEzNiuE_CH8JCijgZWqX7fw=22 Jan, 2016 #2
UCnoL9S9BtmoI92S98fQ9WyQ=16 Dec, 2017 #2
UCb0vwg9W4JEpEM43R4sGM-Q=19 Sep, 2017 #2
UC7DelUz97Kew3wpLulC8_jA=16 Feb, 2014 #2
UCa044NWUo0qL-gWA1IxMGIw=14 Jan, 2018 #2
UCC3m2Gp4VQ4SgIcK9MBMnNA=15 Sep, 2017 #2
UC3tnkua4QrWuwwkQRtoZlyg=6 Jan, 2018 #2
UCGUaaaTBCKM9nOyZVr5t_vw=18 Dec, 2017 #2
UCwS_gFMahnoD4L2O4L5hUVg=15 Jun, 2017 #2
UCvEgSU7DJ6hHVOXnike1Rbg=23 Nov, 2011 #2
yanayastrebova=31 Oct, 2011 #2
UCZCx5HRadzlr7Znp6Bo0Bmw=3 Jan, 2016 #2
UCWpA7A9ceQJctGCQhyKY5yA=13 Jan, 2018 #2
UClC8omMyvzcJ63Enlvm7uMg=8 Dec, 2017 #2
UCv0Dvceg3xCc31P_nMDR3-A=25 Jan, 2018 #2
UCRCprWzHdPu53zeGqiefMVg=10 Jul, 2017 #2
UCdcStmkwbbYqHt9iCd4V0Fw=24 Jul, 2016 #2
UCJ93kwk-OyFJFi9dqQ6BK9g=16 Aug, 2017 #2
UCetDLeRWrG86fa9L2Og1ymA=22 Aug, 2017 #2
UCf2frM3TKyEm5m8We_hARoQ=15 Nov, 2017 #2
Jeka2421=29 Oct, 2010 #2
UCLaZA0h-W7oe04ASyFcv1Dw=6 Jan, 2018 #2
UC76i0VSJd_DkmA91M2PsHxQ=15 Jun, 2017 #2
UCNgiexPHepdLvixwT_81T0g=27 Aug, 2015 #2
UCCiCNVUfQ2HrxlKjlNUGDRg=2 Jul, 2013 #2
UC-NtF75mkYzj8pfFd05L2Cg=19 Oct, 2015 #2
UC0ck4EOUhqlPHlR-vwViEDw=24 Dec, 2017 #2
UCtOSyylC3Ptwz71h13OJXbA=23 Aug, 2016 #2
UC6iMR5kQ4INa6QkEchOCOBA=23 Jan, 2018 #2
UCGvwDQMX58sVDK_pilylSqw=12 Sep, 2016 #2
UCOOWgG_Wnk2GFZAHgclwPMA=13 Oct, 2017 #2
UCYxvxCeAmQm6iyRR3Dm-kNQ=21 May, 2017 #2
UCxP9TQ5cepmF6sD9u4UKIuw=12 Jan, 2018 #2
UCcoQqV38ejPMKSp_9HC04eA=28 Feb, 2012 #2
UC46Y7CyjajDAKk_eBOnLCLA=5 May, 2013 #2
UCorQroAGmHcKSabZywVYhiw=24 Jan, 2018 #2
UCvg98H4WKiNB_wQ7XVF7pTA=5 Oct, 2017 #2
UCcF5Jf3bCZmQ-bA01qdQsFA=8 Nov, 2017 #2
UC_-WU3bKtlQ3br_OYY03Wtw=1 Mar, 2017 #2
UCbBEt3s9ULY209CkLbQ6oQg=1 Nov, 2011 #2
UCXcWkTPj5Il2I92yn1IeO6A=21 Jan, 2018 #2
UCHdomJofYgs3AIHjAA-ZeNA=21 Jan, 2018 #2
UCQL8WDwJXdCnz3qj8sc2VxQ=28 Sep, 2017 #2
UCVwHpoRhVLSGAdv2kGuEQDg=28 Sep, 2017 #2
UCTOJ1QrwU_KJxfiXiEwQOeg=6 Sep, 2013 #2
UCbZA-CS5vO8qMEw705BBUUw=17 Jan, 2018 #2
UCo9DfQnA4fBsgN77Nv7nxjQ=22 Jun, 2017 #2
UCMe8MWlK2t5IEKvsMnHfBaA=3 Jan, 2018 #2
UCPMbNWY3tZzsywpTTJCkNKw=26 Oct, 2014 #2
UC7lctp6D9VfAoDowN1JkB6A=9 Feb, 2017 #2
UCmLag2g9IG6l1T_uMfZis6A=18 Jun, 2016 #2
UC0hsMQz6l2IR2OyVmAxcUHw=20 Jan, 2018 #2
UCGioCYKwwctcXypCIX6cUcw=3 Mar, 2016 #2
UCuBW0queAB4X7T_fmJJXQ5A=23 Jan, 2018 #2
UCnOE498jjBQ3nwhX2ojrmaQ=9 Dec, 2017 #2
UCWNDTblJ6iJRkPWNXL9mspg=13 Jun, 2017 #2
UCc8BKwmw600BnwlZHNqZ4VQ=22 Jan, 2018 #2
UCnyoplXPjl95QRYnEvql4ig=15 Jul, 2012 #2
UCYzcy4PLpUdfwCad9dyMlvQ=1 Jan, 2017 #2
UCFEqiCN0JfV6ZgpNaP1_-UA=11 Jun, 2015 #2
UCrAQb6SC7Hadt0qIXvyi9yw=6 Jun, 2017 #2
UC9nvpfpicY5CQJ_jDzW-cIg=10 Apr, 2017 #2
UC21aC25iqyFw34rOKYwVLow=12 Nov, 2013 #2
UCQE8EqCs5ChpUXjW85SIXXg=10 Jun, 2016 #2
UCThvIW0Q_G9tMLnSAAluOEw=17 Jan, 2018 #2
UCjuHAjje-L58oONh6KWLLHQ=8 Oct, 2017 #2
UCHOlzgKNFvRU4NCx1856RrA=17 Sep, 2017 #2
UCNIbkXFxRd4LsigX2KVRnhA=4 Jan, 2018 #2
UCTytd5Ska3YfGpCmag9eRNw=2 Dec, 2016 #2
UCpbrq4YfVwllHYzdw8_jaTA=3 Jun, 2017 #2
UCvTIIlso2brmMJ8TsGTO1Zg=22 Dec, 2016 #2
UCXotddqaFZzDEuRSZrWMJjg=10 Aug, 2017 #2
UCBeJnwmX7pD9JpadtRhKIFw=25 May, 2013 #2
UCPV7plqErgxRNpngMasDufw=16 Mar, 2015 #2
UCWXpEFu7K6kdr4tAh0kzPpg=30 Oct, 2015 #2
Nileash8=28 Oct, 2010 #2
UCcvy09l-E7NmyzprWdngS_w=20 Oct, 2017 #2
UCAh7Er6Ch4Q7lwfQIs_1q6g=22 Feb, 2017 #2
UCQTpaBasoNdPa6MSu8CymCw=15 Feb, 2013 #2
UCWJnP6XoLbeTYM6KACckiZA=26 Dec, 2011 #2
UCxgAv-z3A8ut9JimX_MUwtw=8 Jul, 2017 #2
UCtgjr5pVXjoDs5NXpTgCJWQ=18 Jan, 2018 #2
UC484BEZi3RhGAKLrgTJ8I9Q=25 Dec, 2017 #2
UCCvSVhYWbmVvlVDs8Ij3MDg=22 Apr, 2016 #2
UCImrw3Bby6ME6fnBY0QzkgA=19 Oct, 2015 #2
UCWioKGP6hjawYRUGIul6UHw=14 Dec, 2016 #2
UCg0JU3RarO4N5MytMWn4EgQ=25 Apr, 2017 #2
UCmou44rqbT7CtvgZ9B6W-Ig=9 Jan, 2018 #2
UC3UWYSxD7iNWQmOXTKYRTyw=24 Jan, 2018 #2
UCI4fS9aFuuMyQove_ReokPQ=16 Jan, 2018 #2
UCUYgZfAGRiA8KlQGldh-H6g=10 Dec, 2017 #2
UCqmIriYaQ42hMt4hP89eStw=13 Aug, 2015 #2
UCaRCN1AnRCt9IByJadoA07Q=27 Nov, 2017 #2
UCGOAtqvDRm-hx_Ssp6xEB1g=2 Nov, 2017 #2
UC9NU8cnA1YOkgQH87DOFIeA=17 Dec, 2017 #2
UCLQj-Mcm4Lc6e-Sp2EBs02g=22 Jan, 2014 #2
UCoKSiqmZrVnj_rh-te_1Y1w=25 Mar, 2016 #2
UCv7DCNu2bRXlS0c2hJCnJJg=24 Jan, 2018 #2
UCqkAGS5zeajqN8F3lxW-B9g=17 Jan, 2017 #2
UC7VJDX5toqUEMwwVjDY55jQ=2 Jan, 2018 #2
UCkVoBL7896ZuJ1WYAJRY6Jg=7 Aug, 2013 #2
UCwvbDSfKWd_ZNmC6f9MNgTA=15 Mar, 2015 #2
UCPmuDR7kA5Uh29FMn4kuKiw=1 Nov, 2017 #2
UC7G8U_qYiKDTvsriGjs1_YA=20 Jan, 2018 #2
UC5zqqaESbT53EjdmLIFzJCA=9 Mar, 2016 #2
UCCQNzqHs8cvq94hsfN7B9Lw=11 Dec, 2017 #2
UCjqWBtDMLP0XunKIqJ12z2Q=11 Dec, 2017 #2
UCbhzVVwEsIcu03sG9vXQTtQ=25 Jan, 2018 #2
UC9LuAVVI4Xt1Z10JzSW5fIA=18 Feb, 2017 #2
UCcjTMhEkbQprVXPG8hvjohg=11 Nov, 2014 #2
UCmk8pMTNS2Tq4QM5gdTMPbw=17 Jan, 2018 #2
UCSKGgYXo5m4oPyWYmWMq4FQ=22 Jan, 2018 #2
UCcq7aEuvbgie_uGfQ_I-ryQ=18 Jan, 2018 #2
UCAn2J5XrdeFGOoESw5oMNUQ=14 Jan, 2018 #2
UCsPRSqDddntpzLXXzT6h4bw=19 Jan, 2018 #2
UCkHJAjnv-k5IxZubJLiypfw=13 Nov, 2017 #2
UCe8yg7Y6cPivrDdg1wqdpKg=29 Dec, 2017 #2
